Project Code;Title;Description;Specialization;Tools;Doctor;TA;Year;Future Work;Status
cs 1;A Complete Medical Center;A mobile application designed to provide first aid assistance and improve communication between patients and caregivers. It integrates AI to assess burn severity and provide treatment recommendations.;Medical Informatics / AI;"Flutter; Dart; PHP; MySQL";Dr. Mohamed Awad;Eng. Ahmed Hany;2023/2024;Add iOS support and ads;finished
cs 2;Kay of Tourist (KOT);A tourism mobile application that helps users explore Egyptian attractions using AI recommendations, trip planning, and real-time guidance.;Tourism / AI / Mobile;"Flutter; Dart; Firebase";Dr. Nora Niazy;Eng. Esraa Ibrahim;2023/2024;Add AR tours;finished
cs 3;GPMS;A Graduation Projects Management System that facilitates submission, review, and collaboration between students and faculty.;Software Engineering;"HTML; CSS; Angular; C#; SQL Server";Dr. Sherif Moharam;Eng. Noha Ayman;2023/2024;Add analytics ML;finished
cs 4;NAP;A navigation assistant app that uses GPS and machine learning to provide smart notifications and improve travel efficiency.;AI / Mobile;"Machine Learning; GPS";Dr. Mohamed Awad;Eng. Esraa Ibrahim;2023/2024;Improve AI models;finished
cs 5;Blood Genius;An AI-powered application for leukemia detection using blood smear images and a chatbot for medical guidance.;Healthcare / AI;"AI; Image Processing; NLP";Dr. Mohamed Abd Elfattah;Eng. Tarek Mohamed;2023/2024;Expand diseases;finished
cs 6;Scolicare Project;A mobile application that uses artificial intelligence to detect scoliosis type and degree, helping doctors and patients improve diagnosis accuracy and treatment decisions.;Healthcare / AI;"Python; Google Colab; Roboflow; PyCharm; Android Studio; Firebase";Prof. Dr. Mohamed Awad;Eng. Ahmed Hany;2023/2024;Enhance dataset and add 3D visualization;finished
cs 7;Wasla (Lost Items App);A mobile application that helps users report and find lost items using image recognition and secure communication between users.;Mobile Apps / AI;"Flask; PostgreSQL; Firebase; Image Recognition";Dr. Nora Niazy;Eng. Ahmed Hany;2023/2024;Improve image recognition and expand features;finished
cs 8;Agriculture Assistant;An AI-based system for detecting plant diseases using deep learning and sensors, providing real-time monitoring and recommendations for farmers.;AI / Smart Agriculture;"Deep Learning; Sensors; Mobile App";Dr. Mohamed Awad;Eng. Ahmed Hany;2023/2024;Enhance accuracy and expand crop coverage;finished
cs 9;CNC LASER;A project focused on designing and developing a CNC laser engraving machine capable of high-precision cutting and engraving across various materials. It integrates mechanical design, laser technology, and software control systems to ensure accuracy, efficiency, and versatility in industrial and creative applications.;Embedded Systems / Manufacturing;"CNC; Arduino/Controller; Inkscape; GRBL; Mechanical Design";Dr. M. Abdelfattah;Eng. Mariam Medhat;2023/2024;Add AI-based calibration and expand materials database;finished
cs 10;Improving Learning Strategies;A system designed to enhance educational methods by applying artificial intelligence and computer vision techniques. It analyzes student behavior, classifies learning patterns, and improves attendance tracking using face recognition and data analysis to support more effective teaching strategies.;Education / AI / Computer Vision;"Python; Flask; SQL; TensorFlow; OpenCV; MediaPipe; YOLO; VS Code";Dr. Mohamed AbdElFatah;Eng. Abeer Mostafa;2023/2024;Enhance imaging systems and improve AI models for student classification;finished
cs 11;Dynamic Logistics Shipping Management (DLSM);A platform that connects shipping companies with clients to simplify logistics and international shipping processes. It enables users to compare offers, track shipments, and receive real-time updates, improving efficiency, transparency, and decision-making in the shipping market.;Logistics / Web Systems;"HTML; CSS; JavaScript; PHP; Laravel; MySQL; Android Studio";Dr. Ahmed Ibrahim;Eng. Mariam Medhat;2023/2024;Integrate IoT tracking and AI recommendations;finished
cs 12;Praecox;A machine learning-based system for early detection and classification of Alzheimer’s disease using MRI data. It focuses on extracting features from brain images and applying advanced algorithms to improve diagnosis accuracy and support early treatment decisions.;Healthcare / AI / Medical Imaging;"Python; Machine Learning; MRI Data Analysis";Dr. Tamer Hassan;Eng. Norhan Hamdy;2023/2024;Enhance multimodal models and datasets;finished
cs 13;Infrastructure for Company;A network infrastructure project designed to build a smart data center using virtualization and cloud technologies. It aims to improve resource utilization, reduce costs, and enhance system scalability and performance for enterprise environments.;Networking / Cloud / Infrastructure;"Packet Tracer; GNS3; VMware; Windows Server; Windows 10";Prof. Dr. Sherif Moharam;Eng. Amira Yehia & Mina Fokeah;2023/2024;Expand cloud integration and automation;finished
cs 14;Smart Speaker;An intelligent system that integrates American Sign Language (ASL) detection with machine learning and natural language processing to assist communication for deaf and hard-of-hearing individuals. It provides real-time sign recognition and interactive learning features through mobile and web applications.;AI / NLP / Computer Vision;"React; Angular; Flutter; APIs; Machine Learning";Dr. Sherif Moharam;Eng. Abeer Mostafa;2023/2024;Add multilingual support and wearable integration;finished
cs 15;Lung Cancer Classification Using Deep Learning;A deep learning-based system for detecting and classifying lung cancer using medical CT scan images. The project applies convolutional neural networks (CNNs) with preprocessing, augmentation, and transfer learning techniques to improve accuracy, enable early detection, and support healthcare professionals with reliable diagnostic predictions.;Healthcare / AI / Deep Learning;"Python; TensorFlow; CNN; FastAPI; Medical Imaging";Prof. Dr. Mahmoud Gad-Allah;Eng. Rana Bedeir & Eng. Alaa Abouleila;2022/2023;Increase dataset size and improve model accuracy using multimodal imaging (CT, MRI, PET);finished
cs 16;Lung Cancer (Breathease);A mobile-based intelligent healthcare application that uses deep learning and image processing techniques to detect lung cancer, pneumonia, and COVID-19 from CT scan images. The system leverages convolutional neural networks (CNNs) to analyze medical images and provide fast, accurate, and accessible diagnosis, especially for remote and underserved areas.;Healthcare / AI / Mobile;"Python; CNN; Image Processing; Flutter; Android Studio";Dr. Abbas Rustom;Eng. Abeer Mostafa;2023/2024;Extend detection to COPD and additional respiratory diseases;finished
cs 17;Anti-Theft Parking (DRMMR);A smart parking security system that leverages mobile applications, face recognition, and real-time monitoring to prevent car theft and improve parking management. The system enables authorized access control, live tracking, notifications, and efficient parking space utilization through an integrated intelligent platform.;AI / IoT / Mobile Systems;"Android; ASP.NET; Face Recognition; IoT Sensors; Arduino; REST API";Prof. Sherif Muharram;Eng. Ahmed Hany;2023/2024;Expand platform to iOS and integrate with rental car systems;finished
cs 18;ARCHINTELL;An AI-powered architectural design and interior decoration platform that generates personalized 2D and 3D building plans based on user preferences. The system integrates artificial intelligence, machine learning, and interactive visualization to simplify architectural planning, enable real-time customization, and improve user experience for both professionals and homeowners.;AI / Architecture / Web Systems;"React.js; Node.js; MongoDB; Python; HTML; CSS; JavaScript; Bootstrap; jQuery";Dr. Mona Samir Lakoush;Eng. Nowraa Hamdi;2023/2024;Integrate VR environments, multilingual support, and advanced AI-generated structural optimization;finished
cs 19;Car-X;An advanced automotive diagnostic application that helps car owners identify vehicle problems, dashboard warning indicators, and maintenance needs using intelligent diagnostics and location-based service center recommendations.;Automotive / Mobile Systems;"Mobile App; GPS; Diagnostic System; Web Technologies";Prof. Dr. Mahmoud Gadallah;Unknown;2023/2024;Add real-time IoT car monitoring and predictive maintenance;finished
