project_code,title,description,Specialization,Tools,Doctor,TA,Year,Future Work,Status
cs 55,A Complete Medical Center,A mobile application designed to provide first aid assistance and improve communication between patients and caregivers. It integrates AI to assess burn severity and provide treatment recommendations.,Medical Informatics / AI,Flutter; Dart; PHP; MySQL,Dr. Mohamed Awad,Eng. Ahmed Hany,2023/2024,Add iOS support and ads,finished
cs 56,Kay of Tourist (KOT),"A tourism mobile application that helps users explore Egyptian attractions using AI recommendations, trip planning, and real-time guidance.",Tourism / AI / Mobile,Flutter; Dart; Firebase,Dr. Nora Niazy,Eng. Esraa Ibrahim,2023/2024,Add AR tours,finished
cs 57,GPMS,"A Graduation Projects Management System that facilitates submission, review, and collaboration between students and faculty.",Software Engineering,HTML; CSS; Angular; C#; SQL Server,Dr. Sherif Moharam,Eng. Noha Ayman,2023/2024,Add analytics ML,finished
cs 58,NAP,A navigation assistant app that uses GPS and machine learning to provide smart notifications and improve travel efficiency.,AI / Mobile,Machine Learning; GPS,Dr. Mohamed Awad,Eng. Esraa Ibrahim,2023/2024,Improve AI models,finished
cs 59,Blood Genius,An AI-powered application for leukemia detection using blood smear images and a chatbot for medical guidance.,Healthcare / AI,AI; Image Processing; NLP,Dr. Mohamed Abd Elfattah,Eng. Tarek Mohamed,2023/2024,Expand diseases,finished
cs 60,Scolicare Project,"A mobile application that uses artificial intelligence to detect scoliosis type and degree, helping doctors and patients improve diagnosis accuracy and treatment decisions.",Healthcare / AI,Python; Google Colab; Roboflow; PyCharm; Android Studio; Firebase,Prof. Dr. Mohamed Awad,Eng. Ahmed Hany,2023/2024,Enhance dataset and add 3D visualization,finished
cs 61,Wasla (Lost Items App),A mobile application that helps users report and find lost items using image recognition and secure communication between users.,Mobile Apps / AI,Flask; PostgreSQL; Firebase; Image Recognition,Dr. Nora Niazy,Eng. Ahmed Hany,2023/2024,Improve image recognition and expand features,finished
cs 51,Agriculture Assistant,"An AI-based system for detecting plant diseases using deep learning and sensors, providing real-time monitoring and recommendations for farmers.",AI / Smart Agriculture,Deep Learning; Sensors; Mobile App,Dr. Mohamed Awad,Eng. Ahmed Hany,2023/2024,Enhance accuracy and expand crop coverage,finished
cs 53,CNC LASER,"A project focused on designing and developing a CNC laser engraving machine capable of high-precision cutting and engraving across various materials. It integrates mechanical design, laser technology, and software control systems to ensure accuracy, efficiency, and versatility in industrial and creative applications.",Embedded Systems / Manufacturing,CNC; Arduino/Controller; Inkscape; GRBL; Mechanical Design,Dr. M. Abdelfattah,Eng. Mariam Medhat,2023/2024,Add AI-based calibration and expand materials database,finished
cs 52,Improving Learning Strategies,"A system designed to enhance educational methods by applying artificial intelligence and computer vision techniques. It analyzes student behavior, classifies learning patterns, and improves attendance tracking using face recognition and data analysis to support more effective teaching strategies.",Education / AI / Computer Vision,Python; Flask; SQL; TensorFlow; OpenCV; MediaPipe; YOLO; VS Code,Dr. Mohamed AbdElFatah,Eng. Abeer Mostafa,2023/2024,Enhance imaging systems and improve AI models for student classification,finished
cs 33,Dynamic Logistics Shipping Management (DLSM),"A platform that connects shipping companies with clients to simplify logistics and international shipping processes. It enables users to compare offers, track shipments, and receive real-time updates, improving efficiency, transparency, and decision-making in the shipping market.",Logistics / Web Systems,HTML; CSS; JavaScript; PHP; Laravel; MySQL; Android Studio,Dr. Ahmed Ibrahim,Eng. Mariam Medhat,2023/2024,Integrate IoT tracking and AI recommendations,finished
cs 35,Praecox,A machine learning-based system for early detection and classification of Alzheimer’s disease using MRI data. It focuses on extracting features from brain images and applying advanced algorithms to improve diagnosis accuracy and support early treatment decisions.,Healthcare / AI / Medical Imaging,Python; Machine Learning; MRI Data Analysis,Dr. Tamer Hassan,Eng. Norhan Hamdy,2023/2024,Enhance multimodal models and datasets,finished
cs 34,Infrastructure for Company,"A network infrastructure project designed to build a smart data center using virtualization and cloud technologies. It aims to improve resource utilization, reduce costs, and enhance system scalability and performance for enterprise environments.",Networking / Cloud / Infrastructure,Packet Tracer; GNS3; VMware; Windows Server; Windows 10,Prof. Dr. Sherif Moharam,Eng. Amira Yehia & Mina Fokeah,2023/2024,Expand cloud integration and automation,finished
cs 30,Smart Speaker,An intelligent system that integrates American Sign Language (ASL) detection with machine learning and natural language processing to assist communication for deaf and hard-of-hearing individuals. It provides real-time sign recognition and interactive learning features through mobile and web applications.,AI / NLP / Computer Vision,React; Angular; Flutter; APIs; Machine Learning,Dr. Sherif Moharam,Eng. Abeer Mostafa,2023/2024,Add multilingual support and wearable integration,finished
